"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","가중치"
4070,3,34,2,5,1,2,62267438,62267438,57110848,27144232,29966616,5156590,0,14232058,10502878,3729180,58538258,48035380,40301610,13157378,29966616,44150800,14184184,0,0,0,59706000,52258000,61.2222222222222
4071,4,34,2,6,1,1,92950215,92950215,83646995,63574610,20072385,9303220,0,44864902,42800632,2064270,90885945,48085313,156700000,93125390,20072385,29172000,9099615,0,0,0,38411745,0,33.5
4072,3,34,2,3,1,1,10072695,10072695,10072695,7162880,2909815,0,0,17868287,15573787,2294500,7778195,-7795592,15307000,8144120,2395315,3909240,1513925,514500,514500,0,9000000,280000,65.9565217391304
4073,4,34,2,3,1,1,51322145,51322145,44756845,37467495,7289350,6565300,0,13280640,11204440,2076200,49245945,38041505,39123350,1655855,6702850,9231600,2528750,586500,586500,0,9920000,26220000,65.9565217391304
4074,3,34,2,6,1,1,14494248,14494248,14494248,12524868,1969380,0,0,50598430,33606090,16992340,-2498092,-36104182,87546966,75022098,1969380,2100000,130620,0,0,0,23500000,29865000,29.6
4075,3,34,2,6,1,1,77410706,77410706,77410706,77568206,-157500,0,0,47702260,40896260,6806000,70604706,29708446,263106316,185538110,-157500,120000,277500,0,0,0,45500000,102870000,29.6
4076,4,34,2,3,1,3,123190719,121595609,106122279,75854073,30268206,15473330,1595110,37885720,35390240,2495480,120695239,85304999,88738468,12884395,30103428,46203359,16099931,164778,164778,0,54951392,106130000,65.9565217391304
4077,5,34,2,3,1,2,11109982,11109982,5981652,9076022,-3094370,5128330,0,12099870,10659870,1440000,9669982,-989888,10540340,1464318,-3256370,4636000,7892370,162000,162000,0,12000000,5200000,65.9565217391304
4078,5,34,2,3,1,2,36185440,26185440,18933040,19039830,-106790,7252400,10000000,18988200,18738200,250000,35935440,17197240,22530000,3490170,-106790,535000,641790,0,0,0,20000000,600000,65.9565217391304
4079,4,34,2,3,1,4,86397790,84397790,68139790,57651920,10487870,16258000,2000000,25825590,18971690,6853900,79543890,60572200,68270000,10618080,7969420,17664500,9695080,2518450,2518450,0,23500000,73800000,65.9565217391304
