"fno_임가_번호","age_연령별","ara1_지역별","de2_전/겸업별","jong_업종별","de2_1_가구원수별","ffsize_임지규모별","FOI_임가소득","OI_경상소득","FONP_임가순소득","FMI_임업소득","EFMI_임업외소득","TI_이전소득","NOI_비경상소득","HE_가계지출","CE_소비지출","NLE_비소비지출","FODI_임가처분가능소득","FOES_임가경제잉여","FMGR_임업총수입","FMOC_임업경영비","SJI_겸업소득","SJR_겸업수입","SJE_겸업지출","NBI_사업외소득","NBR_사업외수입","NBE_사업외지출","PR_재산적수입","PE_재산적지출","capt_b_기초_자본(순재산)","capt_e_기말_자본(순재산)","a00011_연초보유","a00012_연말보유","wt21_가중치"
1051,5,32,3,2,1,1,24077635,22777635,14893635,8545150,6348485,7884000,1300000,23888350,23411350,477000,23600635,189285,8701750,156600,6348485,7287835,939350,0,0,0,0,10200000,229158100,231571450,1246100,1627850,124.896551724138
1052,4,32,3,2,1,1,29708375,22773375,17063375,9705700,7357675,5710000,6935000,24758520,23743220,1015300,28693075,4949855,12530000,2824300,6467675,11854725,5387050,890000,890000,0,1300000,18414000,564165260,569922520,1395500,1949660,124.896551724138
1053,5,32,3,2,2,1,42111908,42111908,42111908,3343220,38768688,0,0,17886181,16687801,1198380,40913528,24225727,4644100,1300880,38768688,50204050,11435362,0,0,0,25000000,1100000,398447600,365639100,2273800,1717700,24.1818181818182
1054,4,32,3,2,3,1,36598927.3,36517442,29344184,457740,28886444,7173258,81485.3,44852839,38498479,6354360,30244567.3,-8253911.7,1280800,823060,27493307,33896749,6403442,1393137,1393137,0,2022400,24817503,627769866,633480229,1191900,2025851,24.1818181818182
1055,3,32,2,1,3,5,247388099,247388099,236478359,213892199,22586160,10909740,0,49752199,43582729,6169470,241218629,197635900,330000000,116107801,22586160,22586160,0,0,0,0,47712471,48236333,3176595681,3697554282,2117400,1592079,69.125
1056,3,32,3,8,2,1,60829880.9,58199782,57434113,11217362,46216751,765669,2630098.9,25346819,18257123,7089696,53740184.9,35483061.9,17829000,6611638,7684640,13428475,5743835,38532111,38532111,0,14277628,22291128,130121180,113148221,2057300,1568941,180.869565217391
1057,3,32,3,8,1,1,67644184,60700494,29384340,37177630,-7793290,31316154,6943690,59059441,40949531,18109910,49534274,8584743,62205400,25027770,-9343290,5047373,14390663,1550000,1550000,0,10000000,2638800,384864300,365237905,1578100,1741805,180.869565217391
1058,4,32,3,5,2,1,65298800,65298800,59238800,1439000,57799800,6060000,0,103079930,87356330,15723600,49575200,-37781130,1476000,37000,35176500,38000000,2823500,22623300,24400000,1776700,6000000,6000000,1456279200,1535505250,1733500,1553450,186
1059,4,32,3,2,1,1,38159982,38159982,34589982,9730930,24859052,3570000,0,32265572,30440122,1825450,36334532,5894410,10102950,372020,-344948,632410,977358,25204000,25204000,0,2000000,2800000,283637504,267981504,1457400,1562600,24.1818181818182
1061,4,32,3,2,1,1,19275655,19015655,11315655,1344400,9971255,7700000,260000,33900100,31666010,2234090,17041565,-14624445,1540000,195600,-1578745,5046830,6625575,11550000,11550000,0,0,5164000,321859700,302099292,1652500,1522992,24.1818181818182
1062,4,32,3,2,1,1,31951456,31106456,21154546,599000,20555546,9951910,845000,26323305,22351977,3971328,27980128,5628151,644000,45000,585776,1447606,861830,19969770,19969770,0,2300000,7000000,153939700,151806290,1688500,1491390,24.1818181818182
1063,5,32,3,2,2,1,35455817,35455817,25279502,1598000,23681502,10176315,0,22612039,20807119,1804920,33650897,12843778,2098000,500000,23681502,26932597,3251095,0,0,0,20660000,15100000,821876580,815112244,1581300,1979764,24.1818181818182
1064,3,32,3,2,2,1,29360206,20689206,20359206,16116150,4243056,330000,8671000,34388130,31066310,3321820,26038386,-5027924,27394050,11277900,4243056,8397200,4154144,0,0,0,5276720,14153247,461539820,437707070,1871200,1711050,124.896551724138
1065,4,32,3,2,1,1,15956692,15046692,7474732,5460410,2014322,7571960,910000,32552526,30361186,2191340,13765352,-16595834,6528000,1067590,2014322,7319397,5305075,0,0,0,1500000,7663600,218541132,195927377,1642100,1555945,124.896551724138
1066,4,32,3,8,1,1,21887752,21627752,14789752,12218780,2570972,6838000,260000,34402900,22635900,11767000,10120752,-12515148,17465000,5246220,2570972,29745890,27174918,0,0,0,0,15600000,443377730,466582960,1553800,1259930,180.869565217391
1067,5,32,3,8,1,1,33247006,28074956,22924986,2565797,20359189,5149970,5172050,20195780,19772310,423470,32823536,13051226,5881975,3316178,19008676,28288191,9279515,1350513,1350513,0,0,16000000,1270661044,1262576826,1469900,1471582,180.869565217391
1068,4,32,3,8,1,1,42001375,9041375,5719905,3211530,2508375,3321470,32960000,26153830,22776830,3377000,38624375,15847545,5770650,2559120,2508375,2766525,258150,0,0,0,0,7265000,356148800,348554000,1459100,1625500,180.869565217391
1069,4,32,3,2,1,4,56419958.2,51711232,46825982,-908047,47734029,4885250,4708726.2,44215529,39556914,4658615,51761343.2,12204429.2,1330700,2238747,46800934,117753958,70953024,933095,933095,0,936000,11914000,1022478134,1018243251,1521700,1843417,24.1818181818182
1070,5,32,3,2,1,1,19730275,15355450,6591050,190000,6401050,8764400,4374825,16880564,16331234,549330,19180945,2849711,190000,0,255050,2248215,1993165,6146000,6146000,0,0,10350000,173921100,166647201,1348400,1524501,24.1818181818182
1071,4,32,3,2,1,1,45314980,42389980,39704500,7863200,31841300,2685480,2925000,42438870,30223670,12215200,33099780,2876110,7979800,116600,28241300,60893250,32651950,3600000,3600000,0,21700000,55012000,378868700,360653000,1244700,1705500,24.1818181818182
1072,4,32,3,2,1,1,151134108.2,137726350,118306572,-443200,118749772,19419778,13407758.2,57138775,46960375,10178400,140955708.2,93995333.2,1118000,1561200,101184315,153761642,52577327,17565457,17565457,0,103130093,114535000,768479139,771994619,1598100,2100973,24.1818181818182
1073,3,32,2,8,1,1,7820200,6520200,4352200,3938560,413640,2168000,1300000,18019790,16480740,1539050,6281150,-10199590,33169000,29230440,-186360,200000,386360,600000,600000,0,1700000,0,-14072800,-21661800,1456100,1540200,180.869565217391
1074,4,32,3,8,1,4,-11975820,-11975820,-11975820,-3980820,-7995000,0,0,20217000,17117000,3100000,-15075820,-32192820,0,3980820,-7995000,19620000,27615000,0,0,0,0,4000000,282926800,263099600,1243600,1220000,180.869565217391
