STN,연도,평균기온,최저기온평균,최고기온평균,연강수량,연일조시간,관측일수,평균습도,연일사량,연증발량,연안개시간,지중온도_05m,생육기평균기온,생육기강수량,서리일수,초상서리일수,개화기저온일수,폭염일수,호우일수
131.0,2019,14.253424657534246,9.744109589041095,19.38191780821918,856.7,2432.2,365,60.95698630136986,5453.19,1436.1,30.83,,21.386915887850467,688.3,86,131,3,22,1
131.0,2020,13.97896174863388,9.738251366120219,18.904371584699454,1358.6,2319.9,366,62.86967213114754,5372.2,1400.0,24.990000000000002,,20.521962616822428,1165.7,67,136,0,16,0
131.0,2021,14.398082191780823,10.020604395604396,19.37095890410959,1001.6,2372.2,365,62.4841095890411,5345.83,1424.0,37.1,,21.386915887850467,843.8,66,113,0,24,0
131.0,2022,13.977260273972602,9.719113573407203,19.08876712328767,1238.8,2552.0,365,59.383835616438354,5567.93,1492.8,10.5,,21.58364485981308,1096.8999999999999,86,116,0,24,1
131.0,2023,14.903287671232876,10.465479452054796,19.887945205479454,1805.6,2170.2,365,60.62630136986301,5384.4800000000005,1446.7,13.69,,22.05607476635514,1617.2,83,107,0,28,4
131.0,2024,15.593150684931507,11.50327868852459,20.39945355191257,1534.9,2115.7,366,62.55808219178083,5434.88,1489.0,28.41,,23.119248826291077,1330.9,60,105,0,46,4
133.0,2019,14.062465753424657,9.27095890410959,19.551780821917806,984.2,2474.3,365,68.52219178082191,5744.1,1408.2,58.69,15.922191780821919,21.012149532710282,781.5,96,134,4,18,1
133.0,2020,13.772404371584699,9.252732240437158,19.166939890710385,1614.0,2394.5,366,70.76393442622951,5523.26,1342.7,28.92,16.168306010928962,20.16635514018692,1374.0,79,153,2,13,2
133.0,2021,14.30082191780822,9.60109589041096,19.736164383561643,1109.5,2354.3,365,71.94054794520548,5005.07,1243.7,40.2,16.182739726027396,21.098130841121495,930.5,75,131,0,21,0
133.0,2022,13.580821917808219,8.59041095890411,19.443013698630136,1203.1,2342.9,365,62.31753424657535,5533.4,1503.9,13.3,16.096712328767122,21.0196261682243,1066.0,99,132,2,22,2
133.0,2023,14.105205479452053,9.273553719008264,19.83178082191781,2042.5,2309.9,365,64.49835616438355,5409.97,1416.4,32.230000000000004,16.771153846153847,21.013084112149535,1820.5,96,127,2,25,6
133.0,2024,14.942349726775955,10.435616438356165,20.349180327868854,1360.5,2281.2,366,68.03852459016393,5422.76,1437.5,41.22,17.322527472527472,22.271962616822428,1122.6,77,115,0,43,3
135.0,2019,12.464383561643835,7.146301369863014,17.909041095890412,1164.1000000000001,2549.1,365,62.477260273972604,5414.47,1571.1,0.0,,19.06448598130841,1029.2,108,141,11,7,1
135.0,2020,12.068306010928962,7.141803278688525,17.385792349726774,1554.0,2167.5,366,64.83934426229509,5395.45,1492.6,0.0,,18.210747663551402,1352.4,100,143,7,1,1
135.0,2021,12.283835616438358,7.247802197802197,17.823076923076925,1129.1,2121.8,365,66.91232876712328,5317.11,1434.8,0.0,,18.656542056074766,965.2,90,105,6,5,0
135.0,2022,12.098626373626372,6.703030303030302,17.667123287671235,928.6,2337.0,365,63.39534246575342,5641.2,1551.6,0.0,,19.16915887850467,801.5,115,117,8,6,1
135.0,2023,12.850549450549451,7.5380165289256205,18.43068493150685,1551.5,2285.1,365,67.03397260273972,5482.28,1478.0,0.0,,19.492990654205606,1333.9,110,115,6,8,3
135.0,2024,13.53688524590164,8.709041095890411,18.8051912568306,1231.5,2229.0,366,69.90792349726776,5340.53,1447.2,0.0,,20.572429906542055,983.6,99,108,0,20,3
136.0,2019,12.944931506849315,7.577961432506887,19.009315068493148,867.8,2550.3,365,65.34164383561644,5603.51,1454.1,218.82,,19.789719626168225,746.6,112,146,8,13,1
136.0,2020,12.594535519125683,7.440771349862259,18.564480874316942,1211.8,2488.0,366,65.94918032786886,5487.72,1416.7,105.52,,19.036448598130843,1055.7,105,160,8,13,0
136.0,2021,12.761917808219179,7.682093663911846,18.68958904109589,974.0,2414.5,365,66.88767123287671,5369.12,1367.2,193.5,,19.428971962616824,809.0,96,125,3,19,0
136.0,2022,12.628767123287671,7.0090659340659345,18.83095890410959,655.7,2635.6,365,62.15424657534246,5739.42,1504.4,86.02,,20.120093457943923,536.2,118,140,6,20,0
136.0,2023,13.426923076923076,7.931680440771349,19.4386301369863,1518.7,2358.9,365,67.83205479452054,5636.56,1423.9,157.09,,20.321495327102806,1355.8,105,130,5,18,3
136.0,2024,14.258082191780822,9.096994535519126,19.97704918032787,1070.6,2285.3,366,70.898087431694,5551.45,1405.4,136.62,,21.562149532710283,914.1999999999999,97,120,0,46,2
137.0,2019,13.493972602739726,8.35917808219178,19.244657534246574,1062.5,2310.5,365,66.70191780821918,4987.44,0.0,0.0,,20.187383177570094,933.8,102,141,5,16,2
137.0,2020,13.13551912568306,8.248907103825136,18.847267759562843,1563.7,2271.9,366,69.13934426229508,5300.96,0.0,0.0,,19.428504672897194,1380.3,87,147,4,12,1
137.0,2021,13.254246575342465,8.348351648351649,19.07041095890411,1230.8,2238.5,365,71.21260273972602,5244.67,85.0,0.0,,19.794859813084113,1065.2,86,135,3,16,0
